RG;PAYS;CAPITALE;ALTITUDE;LATITUDE;LONGITUDE; GMT;PRECIPIT.;TEMP.JANV.;TEMP.JUIL.;AMPLITUDE;POP.91
64;FRANCE;PARIS;53;49N;2E;1,00 ;585;3,1;19;15,9;4000000
65;GABON;LIBREVILLE;10;O;9E;1,00 ;3120;26,7;24,1;-2,6;39045000
66;GAMBIE;BANJUL;2;13N;15W;0,00 ;1295;22,8;26,7;3,9;1591000
67;GHANA;ACCRA;65;6N;0;0,00 ;787;27,3;24,6;-2,7;252040000
68;GIBRALTAR;GIBRALTAR;3;36N;5W;1,00 ;815;12,8;23,8;11;50277000
69;GRECE;ATHENES;107;38N;24E;2,00 ;402;9,3;27,6;18,3;2100
70;GRENADE;SAINT-GEORGE'S;6;12N;62W;-5,00 ;1276;25;27;2;47000
71;GROENLAND;GODTHAAB;50;70N;40W;-4,00 ;528;-8;7;15;751000
72;GUADELOUPE;POINTE-A-PITRE;8;16N;62W;-5,00 ;1814;23,4;26,7;3,3;4999000
73;GUAM;AGANA;162;14N;145E;10,00 ;2249;25,6;26,4;0,8;20557000
74;GUATEMALA;GUATEMAMLA CITY;1502;15N;91W;-6,00 ;1281;16,3;18,5;2,2;56681000
75;GUERNESEY-JERSEY;ST.PETER PORT;10;50N;2W;0,00 ;1100;10;21;11;1168000
76;GUINEE;CONAKRY;46;10N;14W;1,00 ;4293;26,7;25;-1,7;901000
77;GUINEE EQUATORIALE;MALABO;24;2N;10E;1,00 ;2500;27;25;-2;5478000
78;GUINEE-BISSAU;BISSAU;40;12N;16W;0,00 ;2023;24,4;26,3;1,9;15336000
79;GUYANA;GEORGETOWN;2;7N;58W;-3,45 ;2418;26,3;26,2;-0,1;31000
80;GUYANE FRANCAISE;CAYENNE;9;5N;52W;-3,00 ;3744;25,1;25,1;0;10083000
81;HAITI;PORT-AU-PRINCE;38;19N;73W;-5,00 ;1350;24,4;27,8;3,4;91000
82;HONDURAS;TEGUCIGALPA;1107;14N;87W;-6,00 ;954;19,2;22,6;3,4;56000
83;HONG KONG;VICTORIA;33;22N;114E;8,00 ;2265;15,4;28,4;13;390000
84;HONGRIE;BUDAPEST;130;48N;19E;1,00 ;630;-1,1;22,2;23,3;139000
85;ILES VIERGES E-U;CHARLOTTE AMALIE;2;18N;65W;-4,00 ;1250;23;27;4;9466000
86;ILES VIERGES R-U;ROAD TOWN;5;18N;64W;-5,00 ;1250;23;27;4;145000
87;INDE;DELHI;216;29N;77E;5,30 ;715;14,3;31,2;16,9;5873000
88;INDONESIE;DJAKARTA;8;6S;107E;7,00 ;1755;26,2;26,7;0,5;426000
89;IRAK;BAGDAD;2;31N;48E;3,00 ;151;9,9;34,8;24,9;999000
90;IRAN;TEHERAN;1590;33N;52E;3,30 ;208;3,5;29,5;26;802000
91;IRLANDE;DUBLIN;81;53N;6W;0,00 ;758;4,7;15,1;10,4;96000
92;ISLANDE;REYKJAVIK;49;64N;23W;0,00 ;805;-0,4;11,2;11,6;6603000
93;ISRAEL;JERUSALEM;810;32N;35E;2,00 ;492;8,6;23,3;14,7;5259000
94;ITALIE;ROME;5;42N;12E;1,00 ;749;8;24,4;16,4;5855000
95;JAMAIQUE;KINGSTON;12;18N;77W;-5,00 ;811;25,4;28,3;2,9;10500000
96;JAPON;TOKYO;6;36N;150E;9,00 ;1563;3,7;25,1;21,4;111000
97;JORDANIE;AMMAN;771;32N;36E;2,00 ;273;8,2;25,2;17;16749
98;KAMPUCHEA;PNOM PENH;11;11N;104E;7,00 ;1319;26;28;2;865020000
99;KENYA;NAIROBI;1798;1S;37E;3,00 ;926;17,8;14,9;-2,9;181388000
100;KIRIBATI;TARAWA;2;2N;157W;-11,00 ;1977;28,3;27,1;-1,2;19567000
