RG;PAYS;CAPITALE;ALTITUDE;LATITUDE;LONGITUDE; GMT;PRECIPIT.;TEMP.JANV.;TEMP.JUIL.;AMPLITUDE
22;BERMUDES;MANILTON;46;32N;65W;-4,00 ;1463;17,2;26,1;8,9
23;BHOUTAN;THIMPHU-PUNAKHA;1381;27N;90E;5,30 ;1422;13;23;10
24;BIRMANIE;RANGOON;23;17N;96E;6,30 ;2618;24,8;26,6;1,8
25;BOLIVIE;LA PAZ-SUCRE;3658;17S;65W;-4,00 ;574;11,7;8,3;-3,4
26;BOTSWANA;GABORONE;1006;22S;24E;2,00 ;538;26,1;12,8;-13,3
27;BRESIL;BRASILIA;1161;16S;48W;-4,00 ;1600;22,2;17,4;-4,8
28;BRUNEI;BANDAR SERI;3;5N;115E;7,30 ;3275;26,7;27,8;1,1
29;BULGARIE;SOFIA;588;43N;23E;2,00 ;622;-1,7;21,3;23
30;BURKINA FASO;OUADAGOUDOU;314;12N;2W;0,00 ;849;25,4;26,9;1,5
31;BURUNDI;BUJUMBURA;783;3S;29E;2,00 ;825;22,8;22,8;0
32;CAIMANS;GEORGETOWN;1;19N;81W;-5,00 ;1400;24;27;3
33;CAMEROUN;YAOUNDE;760;4N;12E;1,00 ;1547;24,1;22,2;-1,9
34;CANADA;OTTAWA;126;45N;75W;-5,00 ;851;-10,9;20,7;31,6
35;CAP-VERT;PRAIA;28;18N;25W;0,00 ;250;22,2;25;2,8
36;CENTRAFRIQUE;BANGUI;381;4N;19E;1,00 ;1560;25,9;25,1;-0,8
37;CHILI;SANTIAGO;520;33S;71W;-4,00 ;375;19,5;8;-11,5
38;CHINE;PEKIN;38;40N;116E;8,00 ;623;-5;26;31
39;CHYPRE;NICOSIE;217;35N;33E;2,00 ;339;10,6;28,1;17,5
40;COLOMBIE;BOGOTA;2546;5N;72W;-5,00 ;1610;14;13;-1
41;COMORES;MORONI;17;12S;43E;3,00 ;2500;27;23;-4
42;CONGO;BRAZZAVILLE;314;4S;15E;1,00 ;1371;25,6;21,7;-3,9
43;COOK;AVARUA;2;20S;160W;-10,30 ;2481;25;27;2
44;COREE DU NORD;PYONGYANG;30;40N;127E;9,00 ;916;-7,8;23,9;31,7
45;COREE DU SUD;SEOUL;87;37N;127E;9,00 ;1250;-5;25;30
46;COSTA RICA;SAN JOSE;1158;10N;84W;-6,00 ;1944;19;20,6;1,6
47;COTE D'IVOIRE;YAMOUSSOUKRO;7;6N;6W;0,00 ;2144;26,7;25,1;-1,6
48;CUBA;LA HAVANE;64;21N;80W;-5,00 ;1224;22;28;6
49;DANEMARK;COPENHAGUE;13;56N;10E;1,00 ;602;0,1;17,8;17,7
50;DJIBOUTI;DJIBOUTI;9;12N;43E;3,00 ;133;25,1;34,2;9,1
51;DOMINICAINE;SAINT-DOMINGUE;14;18N;70W;-5,00 ;1400;23,9;27,2;3,3
52;DOMINIQUE;ROSEAU;24;15N;61W;-5,00 ;1900;23;27;4
53;EGYPTE;LE CAIRE;24;30N;32E;2,00 ;22;14;28,9;14,9
54;EMIRATS ARABES UNIS;ABU DHABI;15;24N;54E;4,00 ;60;23,4;42,3;18,9
55;EQUATEUR;QUITO;2812;0;78W;-5,00 ;1233;13;12,9;-0,1
56;ESPAGNE;MADRID;657;40N;4W;1,00 ;436;4,9;24,2;19,3
57;ETATS-UNIS;WASHINGTON;20;39N;77W;-5,00 ;1036;2,7;25,7;23
58;ETHIOPIE;ADDIS ABEBA;2360;9N;39E;3,00 ;1089;16,1;15,1;-1
59;FALKLAND;STANLEY;;52S;60W;-3,00 ;598;8,7;2,2;-6,5
60;FEROE;THORSHAVN;;62N;7W;0,00 ;433;4;11;7
61;FIDJI;SUVA;39;18S;178E;12,00 ;2974;26,7;22,8;-3,9
62;FINLANDE;HELSINKI;58;60N;25E;2,00 ;641;-6,8;17,1;23,9
63;FORMOSE;TAIPEH;9;25N;122E;8,00 ;2100;15,2;28,4;13,2
64;FRANCE;PARIS;53;49N;2E;1,00 ;585;3,1;19;15,9
65;GABON;LIBREVILLE;10;O;9E;1,00 ;3120;26,7;24,1;-2,6
66;GAMBIE;BANJUL;2;13N;15W;0,00 ;1295;22,8;26,7;3,9
67;GHANA;ACCRA;65;6N;0;0,00 ;787;27,3;24,6;-2,7
68;GIBRALTAR;GIBRALTAR;3;36N;5W;1,00 ;815;12,8;23,8;11
